   player_name   | round_id | time_played_minutes | time_dead_minutes | time_dead_ratio 
-----------------+----------+---------------------+-------------------+-----------------
 vid             |     8054 |                   8 |            102.04 |          1275.5
 vid             |     8055 |                7.95 |         101.40225 |          1275.5
 qmr             |     8054 |                   8 |           100.424 |          1255.3
 qmr             |     8055 |                7.95 |          99.79635 |          1255.3
 endekk          |     7659 |                 6.1 |           98.7468 |          1618.8
 vid             |     7945 |           6.9333334 |         42.688534 |           615.7
 ripaZha zubl1k  |     7639 |                  12 |            38.016 |           316.8
 slomix.olz      |     7639 |                  12 |            36.324 |           302.7
 SmetarskiProner |     7585 |           6.9666667 |         32.987167 |           473.5
 slomix.carniee  |     7639 |                  12 |            32.484 |           270.7
 .olz            |     7585 |           6.9666667 |           28.6121 |           410.7
 bronze.         |     7585 |           6.9666667 |         28.103533 |           403.4
 carniee         |     8044 |               10.95 |          14.33355 |           130.9
 Cru3lzor.       |     8044 |               10.95 |           14.0379 |           128.2
 slomix.Imbecil  |     7642 |           11.133333 |           12.5918 |           113.1
 SuperBoyy       |     8019 |                  12 |            12.216 |           101.8
 slomix.endekk   |     7642 |           11.133333 |         12.213266 |           109.7
 slomix.Imbecil  |     7645 |                  10 |              11.7 |             117
 SuperBoyy       |     7782 |                  10 |             10.73 |           107.3
 //^?/M.Gekku    |     7633 |                 9.8 |           10.5154 |           107.3
 carniee         |     7746 |                  10 |             10.26 |           102.6
 endekk          |     7719 |                  10 |             10.08 |           100.8
 Imbecil         |     7722 |           7.8166666 |          9.458167 |             121
 SmetarskiProner |     7933 |            7.766667 |          9.420967 |           121.3
 slomix.carniee  |     7636 |            9.216666 |            9.3457 |           101.4
 Imb3cil         |     7600 |                8.75 |           9.12625 |           104.3
 Imb3cil         |     7606 |                 7.6 |            8.6792 |           114.2
 endekk          |     7979 |            8.216666 |            8.4796 |           103.2
 SuperBoyy       |     7606 |                 7.6 |            7.7216 |           101.6
 endekk          |     7695 |           5.5833335 |         6.7279167 |           120.5
 Imbecil         |     7728 |            5.116667 |         6.3651333 |           124.4
 SuperBoyy       |     8017 |            5.883333 |         5.9715834 |           101.5
 //^?/M.Gekku    |     7630 |            5.866667 |         5.9194665 |           100.9
 SuperBoyy       |     7833 |           4.7166667 |          5.537367 |           117.4
 endekk          |     8022 |            5.366667 |            5.4418 |           101.4
 endekk          |     7830 |           3.6166666 |          4.390633 |           121.4
 vid             |     8003 |           2.8333333 |         4.2018332 |           148.3
 .wjs            |     7924 |                2.75 |            3.9545 |           143.8
 endekk          |     7915 |                3.05 |           3.66305 |           120.1
 SuperBoyy       |     7909 |                 3.1 |            3.1682 |           102.2
 vid             |     7924 |                2.75 |           3.11575 |           113.3
 endekk          |     7579 |           2.8333333 |         2.8361666 |           100.1
 vid             |     7785 |           2.5833333 |         2.6065834 |           100.9
(43 rows)

