path,blob_sha,mode,type,subsystem,review_method,disposition,finding_ids,notes
.claudeignore,7b1f6310aeebc6aad8eb15af25dacdeec89d8702,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.codacy.yaml,38e94efaffa761e52018954dfa7d0e2c55ca2cda,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.dockerignore,b122dc26aaa3db770037314f1c554b1ba5eb9d70,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.env.example,fe40bbf0ff602a6128b74fd863f008fcd657ded0,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.gitattributes,d8df382497ef99abc451b30ed46f23f4b45249fa,100644,text/plain,root,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/ISSUE_TEMPLATE/bug_report.yml,6d42133c3f4d08fc7df6228a424625fd19d64dbe,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/ISSUE_TEMPLATE/feature_request.yml,763a85f2858bd00bd57fff7ec84548be1664ff14,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/codeql/codeql-config.yml,df85609eb053c920c26afcfeb3f83fb4768622cf,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/copilot-instructions.md,18156d53d647b802c4e94a6e74e77a51cf3c596e,100644,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
.github/instructions/codacy.instructions.md,cb073c46b53148621667e869ad9c6c58a4b66a93,100755,text/plain,.github,deep_text_review,REVIEWED_SUPPORT,,"Reviewed by inventory, configuration inspection, static checks, or repository hygiene checks."
